stpostal,grads,UR,PCPI,POP,stfips,FIPSNum
AK,91.7,6.9,57394,739.7,2,2000
AL,86.5,5.4,41030,4874.486,1,1000
AR,86.7,3.7,41657,3001.345,5,5000
AZ,87.2,5.1,42590,7044.008,4,4000
CA,83.3,5.2,60549,39358.497,6,6000
CO,91.59999999999999,2.8,55604,5611.885,8,8000
CT,90.40000000000001,4.8,71740,3573.297,9,9000
DC,90.2,6,79221,694.9059999999999,11,11000
DE,90.59999999999999,4.6,50798,956.823,10,10000
FL,88.40000000000001,4.6,48504,20963.613,12,12000
GA,87,5.2,44894,10410.33,13,13000
HI,92.3,2.7,53433,1424.393,15,15000
IA,92.09999999999999,3.4,47662,3141.55,19,19000
ID,90.8,3.5,42268,1717.715,16,16000
IL,89.09999999999999,5.3,54252,12778.828,17,17000
IN,88.59999999999999,3.9,45244,6658.078,18,18000
KS,91,3.9,48883,2908.718,20,20000
KY,86.3,5.2,40904,4452.268,21,21000
LA,85.09999999999999,5.8,43932,4670.56,22,22000
MA,90.8,3.8,68442,6859.789,25,25000
MD,89.90000000000001,4.3,60758,6023.868,24,24000
ME,92.3,3.6,46565,1334.612,23,23000
MI,90.90000000000001,4.9,45948,9973.114,26,26000
MN,93.09999999999999,3.8,54960,5566.23,27,27000
MO,89.7,4.1,45342,6106.67,29,29000
MS,84.40000000000001,5.4,36536,2988.51,28,28000
MT,93,4,46199,1052.482,30,30000
NC,87.8,4.9,44409,10268.233,37,37000
ND,92.90000000000001,2.8,52736,754.942,38,38000
NE,91.3,3,50645,1915.947,31,31000
NH,93.09999999999999,2.8,58759,1348.787,33,33000
NJ,89.90000000000001,4.6,64983,8885.525,34,34000
NM,86.09999999999999,6.4,39747,2091.784,35,35000
NV,86.8,5.2,47650,2969.905,32,32000
NY,86.59999999999999,4.7,65814,19589.572,36,36000
OH,90.3,5.2,46829,11659.65,39,39000
OK,88.09999999999999,4.6,43794,3931.316,40,40000
OR,91,4.2,48762,4143.625,41,41000
PA,90.59999999999999,5.2,53306,12787.641,42,42000
RI,88.3,4.5,52644,1055.673,44,44000
SC,87.40000000000001,4.5,42227,5021.268,45,45000
SD,91.7,3.1,49787,872.8680000000001,46,46000
TN,87.8,4.5,45233,6708.799,47,47000
TX,83.59999999999999,4.7,48394,28295.273,48,48000
UT,92.09999999999999,3.3,44178,3101.042,49,49000
VA,89.7,4,55631,8463.587,51,51000
VT,92.59999999999999,3.1,51697,624.3440000000001,50,50000
WA,91.3,4.9,58437,7423.362,53,53000
WI,92.40000000000001,3.6,49264,5790.186,55,55000
WV,87.09999999999999,5.3,38927,1817.004,54,54000
WY,92.90000000000001,4.6,56524,578.931,56,56000
